query_id,query,category,pipeline,reformulated_query,recall_at_k,mrr,answer_overlap,faithfulness
q001,something weird in my network traffic,vague,baseline,,0.0,0.0,0.04950495049504951,0.16666666666666666
q001,something weird in my network traffic,vague,enhanced_expansion,"I'm detecting unusual patterns of network activity that may indicate potential security threats, such as lateral movement, port scanning, command and control beaconing, or data exfiltration.",0.0,0.0,0.06097560975609756,0.3333333333333333
q001,something weird in my network traffic,vague,enhanced_hyde,"An unusual pattern of network traffic may indicate a potential security breach. One common indicator of suspicious activity is an unexpected spike in DNS (Domain Name System) queries, particularly those related to unknown or unfamiliar domains. This could be a sign that malware or a malicious actor is attempting to evade detection by using alternative domain names for command and control communications. Monitoring network traffic and analyzing DNS query patterns can help identify potential security threats and inform incident response efforts.",0.0,0.0,0.03529411764705882,0.0
q001,something weird in my network traffic,vague,enhanced_stepback,What unusual patterns or anomalies are showing up in the data being transmitted over your network?,0.0,0.0,0.04878048780487805,0.42857142857142855
q001,something weird in my network traffic,vague,enhanced_decomposition,"Is there any unusual pattern or anomaly in the data being transmitted over your network? | Are you seeing any unfamiliar IP addresses or devices connected to your network that shouldn't be there? | Can you describe what exactly is ""weird"" about the traffic - is it a specific type of data, protocol, or behavior?",0.0,0.0,0.039603960396039604,0.36363636363636365
q002,How does Pass-the-Hash work and how can I detect it?,specific,baseline,,0.0,0.0,0.10619469026548672,0.058823529411764705
q002,How does Pass-the-Hash work and how can I detect it?,specific,enhanced_expansion,"Can you explain to me how Pass-the-Hash attacks work, specifically the use of compromised credentials to authenticate and execute malicious commands, and what types of network traffic or system logs might indicate a potential Pass-the-Hash attack, such as unusual login attempts, elevated privileges, or suspicious command execution, similar to T1055 (Abusing Credentials) and T1071 (Command and Control)?",0.0,0.0,0.05217391304347826,0.0625
q002,How does Pass-the-Hash work and how can I detect it?,specific,enhanced_hyde,"Pass-the-Hash (PTH) is a type of attack where an attacker uses stolen credentials to obtain a valid hash of a target user's password. The attacker then passes this hash to a malicious service, such as a web application or remote access protocol, which verifies the hash against its own stored hashes. This allows the attacker to gain unauthorized access to the system without needing to know the actual password. Detection of PTH attacks can be challenging, but it is possible through monitoring of login attempts and network traffic for suspicious patterns, such as multiple failed logins from different locations or unusual protocol interactions.",0.5,1.0,0.1111111111111111,0.35294117647058826
q002,How does Pass-the-Hash work and how can I detect it?,specific,enhanced_stepback,How do attackers use stolen credentials to gain unauthorized access to systems?,0.0,0.0,0.11009174311926606,0.18181818181818182
q002,How does Pass-the-Hash work and how can I detect it?,specific,enhanced_decomposition,"What is Pass-the-Hash, and how does it work? | How do attackers use Pass-the-Hash to gain unauthorized access to systems? | What are some common indicators that a system has been compromised using Pass-the-Hash?",0.0,0.0,0.10576923076923077,0.13333333333333333
q003,my server is acting slow and there are weird processes,vague,baseline,,0.0,0.0,0.07865168539325842,0.1111111111111111
q003,my server is acting slow and there are weird processes,vague,enhanced_expansion,"Is the slowdown on our server indicative of a potential insider threat, such as a compromised process running in the background, possibly related to a lateral movement attack (T1566) or a malicious activity like data exfiltration (T1071)?",0.0,0.0,0.0851063829787234,0.1
q003,my server is acting slow and there are weird processes,vague,enhanced_hyde,"If your server is experiencing slow performance and exhibiting unusual processes, it's possible that malware or unauthorized software has been installed. Malicious code can consume system resources, causing slowdowns and disrupting normal operation. To investigate further, review the list of running processes using tools like Task Manager or ps aux, and look for suspicious or unfamiliar entries. Additionally, run a full system scan with an anti-malware tool to detect and remove any malicious software that may be present.",0.0,0.0,0.05,0.4
q003,my server is acting slow and there are weird processes,vague,enhanced_stepback,Is your server experiencing performance issues due to unauthorized or unexpected system activity?,0.0,0.0,0.06896551724137931,0.3333333333333333
q003,my server is acting slow and there are weird processes,vague,enhanced_decomposition,What could be causing your server to act slowly? | What kind of processes do you see running on your server that seem unusual or unexpected? | Are these strange processes consuming a lot of system resources?,0.0,0.0,0.05172413793103448,0.3333333333333333
q004,What are the indicators of compromise for Log4Shell (CVE-2021-44228)?,specific,baseline,,0.0,0.0,0.0,0.0
q004,What are the indicators of compromise for Log4Shell (CVE-2021-44228)?,specific,enhanced_expansion,"What are the signs that an attacker has exploited a vulnerability in our Java logging system, potentially allowing unauthorized access to sensitive data or executing malicious commands, similar to the exploitation seen in the Log4Shell (CVE-2021-44228) vulnerability?",0.0,0.0,0.0,0.0
q004,What are the indicators of compromise for Log4Shell (CVE-2021-44228)?,specific,enhanced_hyde,"Indicators of compromise (IoCs) for Log4Shell (CVE-2021-44228) include unusual login activity, failed authentication attempts, and unexpected changes to log files or configuration files. Additionally, IoCs may include the presence of the ""jndi"" protocol in log entries, particularly those that reference a URL with a ""ldap://"" scheme. Malicious actors may also attempt to exploit Log4Shell by injecting malicious JSP (JavaServer Pages) code into web applications, which can be detected through unusual patterns of HTTP requests or responses.",0.0,0.0,0.0,0.3333333333333333
q004,What are the indicators of compromise for Log4Shell (CVE-2021-44228)?,specific,enhanced_stepback,What are the signs that a vulnerable Java logging library has been exploited to gain unauthorized access or control?,0.0,0.0,0.0,0.0
q004,What are the indicators of compromise for Log4Shell (CVE-2021-44228)?,specific,enhanced_decomposition,What is Log4Shell and how does it work? | What types of data or systems might be vulnerable to Log4Shell attacks? | How can an organization determine if they have been affected by Log4Shell?,0.0,0.0,0.0,0.0
q005,users complaining about being locked out,vague,baseline,,0.0,0.0,0.03389830508474576,0.0
q005,users complaining about being locked out,vague,enhanced_expansion,"Are there any instances of unauthorized account lockouts that may indicate a phishing attack, credential stuffing, or password cracking attempt, potentially exploiting the use of weak passwords or multi-factor authentication bypass techniques?",0.5,1.0,0.1509433962264151,0.75
q005,users complaining about being locked out,vague,enhanced_hyde,"If users are experiencing issues with being locked out of their systems, it is essential to investigate and address potential causes such as incorrect passwords, account lockout policies, or brute-force attack attempts. Regularly review system logs to identify patterns of failed login attempts, and consider implementing additional security measures such as password expiration policies, multi-factor authentication, or rate limiting to prevent unauthorized access. Additionally, ensure that the organization's account lockout policy is properly configured to balance security with user convenience, allowing for a reasonable number of failed login attempts before locking out the account.",0.25,1.0,0.10416666666666667,0.3333333333333333
q005,users complaining about being locked out,vague,enhanced_stepback,What is causing people to be unable to access their own accounts?,0.0,0.0,0.07692307692307693,0.18181818181818182
q005,users complaining about being locked out,vague,enhanced_decomposition,Why might a user be unable to log in to their account? | What could cause a user's password to become locked or disabled? | How can an organization help users regain access to their accounts?,0.25,0.3333333333333333,0.06944444444444445,0.8
q006,How does Kerberoasting work?,specific,baseline,,0.0,0.0,0.05970149253731343,0.0
q006,How does Kerberoasting work?,specific,enhanced_expansion,"Can you explain how Kerberoasting works to identify potential insider threats using techniques like MITRE ATT&CK's T1053 (Abuse of Privileges) and T1074 (Impersonation), such as obtaining a user's Kerberos ticket without their knowledge or consent?",0.0,0.0,0.029411764705882353,0.5
q006,How does Kerberoasting work?,specific,enhanced_hyde,"Kerberoasting is an attack technique that exploits the Kerberos authentication protocol. An attacker gains access to a user's Kerberos ticket, typically through phishing or other means, and uses it to obtain the user's pre-authentication token (prett). The prett can be used to obtain a new Kerberos ticket with elevated privileges, allowing the attacker to assume the identity of the original user. This technique is often used in combination with other attacks, such as pass-the-hash or lateral movement, to gain unauthorized access to systems and resources.",0.2,1.0,0.10344827586206896,0.4
q006,How does Kerberoasting work?,specific,enhanced_stepback,How do attackers use stolen user credentials to gain access to a network without directly using those credentials?,0.0,0.0,0.02702702702702703,0.5
q006,How does Kerberoasting work?,specific,enhanced_decomposition,What is Kerberoasting and what problem does it solve? | How do attackers use Kerberos to obtain user credentials? | What information can be obtained from a successful Kerberoasting attack?,0.0,0.0,0.046153846153846156,0.0
q007,strange emails being sent from our domain,vague,baseline,,0.2,1.0,0.072,0.25
q007,strange emails being sent from our domain,vague,enhanced_expansion,"Are suspicious emails originating from our domain potentially indicative of phishing campaigns, spear phishing, or business email compromise (BEC) attacks, possibly utilizing techniques such as spoofing, impersonation, and social engineering?",0.2,1.0,0.07,0.4
q007,strange emails being sent from our domain,vague,enhanced_hyde,"If your organization's domain is experiencing unusual email activity, such as sending unsolicited messages to recipients, it is likely due to one of two primary causes: phishing attacks or compromised domain credentials. Phishing attacks involve hackers exploiting vulnerabilities in email clients or servers to send spoofed emails that appear to originate from a legitimate source. Compromised domain credentials occur when an attacker gains unauthorized access to your domain's email accounts or DNS settings, allowing them to send emails on behalf of your organization. To mitigate this risk, immediately investigate and secure any affected accounts, update password policies, and monitor for suspicious activity using threat intelligence tools.",0.2,1.0,0.09090909090909091,0.2
q007,strange emails being sent from our domain,vague,enhanced_stepback,Are unauthorized users able to send emails using your company's email address?,0.2,1.0,0.044444444444444446,0.2857142857142857
q007,strange emails being sent from our domain,vague,enhanced_decomposition,"Are these emails being sent without anyone's knowledge or consent? | What is the content of these suspicious emails, and are they related to legitimate business activities? | How did these emails get added to our domain in the first place?",0.2,1.0,0.06086956521739131,0.5
q008,What MITRE ATT&CK techniques are used in ransomware attacks?,specific,baseline,,0.6,1.0,0.16216216216216217,1.0
q008,What MITRE ATT&CK techniques are used in ransomware attacks?,specific,enhanced_expansion,"What specific MITRE ATT&CK techniques are employed during a ransomware attack, such as exfiltration of sensitive data (T1003), creation of backup copies (T1018), or use of encryption to conceal malicious activity (T1021)?",0.6,1.0,0.15151515151515152,1.0
q008,What MITRE ATT&CK techniques are used in ransomware attacks?,specific,enhanced_hyde,"Ransomware attackers often employ various MITRE ATT&CK techniques to achieve their goals. The most common techniques include T1003 (Data Encrypted), where attackers encrypt sensitive data and demand payment for decryption keys, as well as A11 (Lateral Movement), which involves moving laterally within a network to spread the ransomware and evade detection. Additionally, T1210 (Network Sniffing) is often used to gather information about potential victims and T1071 (Reconnaissance), where attackers conduct reconnaissance to identify vulnerabilities and gain insight into their targets' networks.",0.6,1.0,0.16216216216216217,1.0
q008,What MITRE ATT&CK techniques are used in ransomware attacks?,specific,enhanced_stepback,What types of cyberattacks involve holding data hostage to extort money from victims?,0.6,1.0,0.18518518518518517,0.6666666666666666
q008,What MITRE ATT&CK techniques are used in ransomware attacks?,specific,enhanced_decomposition,What types of attacks does ransomware use to get into a system? | How do ransomware attackers try to trick users into giving them access? | What kind of data does ransomware typically demand from its victims?,0.6,1.0,0.09375,0.8
q009,files disappearing on network shares,vague,baseline,,0.0,0.0,0.08163265306122448,0.1111111111111111
q009,files disappearing on network shares,vague,enhanced_expansion,"I'm concerned about unauthorized file deletions from our shared network drives, which may indicate insider threats, lateral movement, or malicious activity such as data exfiltration, potentially using techniques like MITRE ATT&CK's T1071 and T1203.",0.0,0.0,0.10256410256410256,0.5
q009,files disappearing on network shares,vague,enhanced_hyde,"Files may disappear from network shares due to permissions issues. When a file is deleted from a shared folder and the deletion is not propagated to all connected clients, it can appear as though the file has vanished. This phenomenon occurs because the deletion of a file does not automatically update the files' metadata on other clients that are still connected to the share. To resolve this issue, ensure that the permissions on the shared folder allow for the propagation of deletions across all connected clients.",0.0,0.0,0.07142857142857142,0.25
q009,files disappearing on network shares,vague,enhanced_stepback,Why do files sometimes get deleted or moved from a shared computer without anyone noticing?,0.0,0.0,0.0,0.0
q009,files disappearing on network shares,vague,enhanced_decomposition,Are the missing files being deleted or moved to another location? | Is there any suspicious activity on the network share where the files are disappearing? | Can you access the files that have gone missing?,0.0,0.0,0.102803738317757,0.3333333333333333
q010,How can an attacker establish persistence on a Linux system?,specific,baseline,,0.5,1.0,0.1111111111111111,1.0
q010,How can an attacker establish persistence on a Linux system?,specific,enhanced_expansion,"How can an attacker maintain unauthorized access to a Linux system without being detected, potentially using techniques such as exploiting vulnerabilities (T1190), creating scheduled tasks or cron jobs (T1071) to run malicious scripts, or utilizing rootkits and other stealthy tools to evade detection?",0.0,0.0,0.0,0.0
q010,How can an attacker establish persistence on a Linux system?,specific,enhanced_hyde,"An attacker can establish persistence on a Linux system by exploiting vulnerabilities in the system's configuration and permissions. One common method is to create a cron job that runs a script at regular intervals, allowing the attacker to maintain access even after initial login credentials have been revoked. Additionally, attackers may use tools like rsync or scp to copy malicious files to the system, often under the guise of legitimate file transfers.",0.3333333333333333,1.0,0.03571428571428571,0.6666666666666666
q010,How can an attacker establish persistence on a Linux system?,specific,enhanced_stepback,How can an unauthorized user gain long-term access to a Linux computer?,0.16666666666666666,0.25,0.0,0.0
q010,How can an attacker establish persistence on a Linux system?,specific,enhanced_decomposition,What types of files or processes do attackers use to gain persistence on a Linux system? | How do attackers typically hide their malicious activity from the system administrator? | What methods do attackers use to ensure they can return to the system even after a reboot?,0.3333333333333333,1.0,0.07894736842105263,1.0
q011,how do i know if we got hacked,vague,baseline,,0.25,1.0,0.06870229007633588,0.0
q011,how do i know if we got hacked,vague,enhanced_expansion,"How can I identify signs of a potential cyber attack, such as unauthorized access attempts, data breaches, or suspicious network activity that may indicate lateral movement, privilege escalation, or command and control communication?",0.25,0.25,0.05405405405405406,0.08333333333333333
q011,how do i know if we got hacked,vague,enhanced_hyde,"Signs of a potential cyberattack include unusual network traffic patterns, such as sudden spikes in data transfer rates or unfamiliar IP addresses attempting to access your systems. Additionally, monitoring system logs for suspicious login attempts, file modifications, or other unauthorized activity can indicate a breach. It's also essential to check for any changes to system configurations, user accounts, or software updates that may have been made remotely. Furthermore, be on the lookout for phishing emails or other social engineering tactics that could compromise employee credentials.",0.5,1.0,0.0625,0.09090909090909091
q011,how do i know if we got hacked,vague,enhanced_stepback,Can you trust the data and systems that your organization relies on to function?,0.25,0.25,0.06299212598425197,0.26666666666666666
q011,how do i know if we got hacked,vague,enhanced_decomposition,"Have you noticed any unusual or suspicious activity on your computer or network recently? | Are there any unfamiliar programs or files installed on your devices that you didn't intentionally add? | Have you received any strange emails, messages, or phone calls asking for sensitive information?",0.0,0.0,0.07894736842105263,0.3333333333333333
q012,What is the difference between a vulnerability and an exploit?,specific,baseline,,0.5,1.0,0.06818181818181818,0.5
q012,What is the difference between a vulnerability and an exploit?,specific,enhanced_expansion,"What's the key difference between identifying a security weakness (vulnerability) and using it to gain unauthorized access or control (exploit), which can be related to techniques like MITRE ATT&CK's T11901 (Identify and Exploit Vulnerabilities)?",0.5,1.0,0.11904761904761904,1.0
q012,What is the difference between a vulnerability and an exploit?,specific,enhanced_hyde,"A vulnerability refers to a weakness or flaw in an application, system, or network that can be potentially exploited by an attacker. An exploit, on the other hand, is a specific technique or piece of code used to take advantage of a known vulnerability, allowing an attacker to gain unauthorized access or cause harm. While vulnerabilities exist, exploits are the actual actions taken by attackers to capitalize on those weaknesses.",0.5,1.0,0.1111111111111111,1.0
q012,What is the difference between a vulnerability and an exploit?,specific,enhanced_stepback,"What is the difference between something that allows unauthorized access to a system, and someone who actually uses that access?",0.25,1.0,0.15151515151515152,0.0
q012,What is the difference between a vulnerability and an exploit?,specific,enhanced_decomposition,"What does it mean for a software or system to have a vulnerability? | What is an exploit, and how does it differ from a vulnerability? | Can you give an example of a situation where a vulnerability leads to an exploit?",0.5,1.0,0.1111111111111111,1.0
q013,database queries running slow and CPU high,vague,baseline,,0.0,0.0,0.09333333333333334,0.4
q013,database queries running slow and CPU high,vague,enhanced_expansion,"Is there an indication of a Denial of Service (DoS) attack or a Distributed Denial of Service (DDoS) attempt, possibly using amplification techniques such as DNS amplification or NTP amplification, which could be causing the slow database queries and high CPU usage?",0.25,1.0,0.0975609756097561,0.3333333333333333
q013,database queries running slow and CPU high,vague,enhanced_hyde,"When database queries are running slowly and consuming excessive CPU resources, it may be indicative of an inefficient query optimization. This can occur due to factors such as poorly indexed tables, complex join operations, or inadequate data caching mechanisms. To address this issue, consider optimizing database queries by re-indexing relevant columns, simplifying join conditions, and implementing a robust caching strategy to reduce the load on the CPU. Additionally, monitoring database performance metrics, such as query execution time and CPU utilization, can provide valuable insights into identifying and resolving bottlenecks.",0.0,0.0,0.08108108108108109,0.0
q013,database queries running slow and CPU high,vague,enhanced_stepback,Why are resource-intensive operations on a database causing performance issues?,0.25,1.0,0.078125,0.25
q013,database queries running slow and CPU high,vague,enhanced_decomposition,Why is my database taking so long to process queries? | What are some common reasons for high CPU usage when running database queries? | How can I optimize the performance of my database queries?,0.5,1.0,0.08235294117647059,0.3333333333333333
q014,How does DMARC protect against email spoofing?,specific,baseline,,0.6,1.0,0.2222222222222222,0.6
q014,How does DMARC protect against email spoofing?,specific,enhanced_expansion,"How can DMARC help prevent email spoofing attacks that use techniques such as phishing, business email compromise, or spear phishing?",0.2,1.0,0.0,0.0
q014,How does DMARC protect against email spoofing?,specific,enhanced_hyde,"DMARC (Domain-based Message Authentication, Reporting, and Conformance) protects against email spoofing by allowing domain owners to specify policies for how their emails should be handled when they are received by a recipient's mail server. If an email is found to have been sent from a domain that does not match the ""From"" address of the email, or if the email fails to include a valid DMARC policy, the receiving mail server can reject the email and report it to the sender's domain owner. This helps prevent phishing attacks and other forms of email spoofing by making it difficult for attackers to send emails that appear to come from legitimate domains.",0.8,1.0,0.25,0.6
q014,How does DMARC protect against email spoofing?,specific,enhanced_stepback,How can email authentication policies prevent scammers from sending fake emails?,0.0,0.0,0.0,0.0
q014,How does DMARC protect against email spoofing?,specific,enhanced_decomposition,What is DMARC and how does it work? | How does DMARC verify the authenticity of emails sent from a domain? | Can DMARC completely prevent email spoofing?,0.2,0.25,0.1694915254237288,1.0
q015,admin account doing things at 3am,vague,baseline,,0.0,0.0,0.08860759493670886,0.3333333333333333
q015,admin account doing things at 3am,vague,enhanced_expansion,"Is there suspicious activity on an administrative account that is accessing resources outside of regular business hours, potentially indicating a compromised credential or insider threat?",0.0,0.0,0.022222222222222223,0.0
q015,admin account doing things at 3am,vague,enhanced_hyde,"An admin account accessing system resources during late hours (e.g., 3am) may indicate unauthorized access or malicious activity. This behavior is often associated with insider threats, phishing attacks, or malware infections. To investigate, review the account's login history and system activity logs to identify any unusual patterns or anomalies. Additionally, verify that all necessary security measures are in place, including multi-factor authentication, network segmentation, and regular account monitoring.",0.0,0.0,0.0,0.0
q015,admin account doing things at 3am,vague,enhanced_stepback,When is it a security risk for an administrator to access sensitive systems or perform actions when most users are asleep?,0.0,0.0,0.0,0.0
q015,admin account doing things at 3am,vague,enhanced_decomposition,Why would someone log in to the admin account at 3 am? | What kind of activities are unusual for an admin user to perform at 3 am? | How can we determine if the login is legitimate or suspicious?,0.0,0.0,0.03389830508474576,1.0
